port,name,R_eff_ohm,C_eff_F,fit_resid_rel,f_min_Hz,Zmag_min_ohm,n_local_minima,n_local_maxima,ReZ_ii_ge0_all
104,Port104_U1_0::ADC_DVDDQ18/7,1.0297456224536647,3.845582114559585e-07,0.0038990685424925326,6918309.70918936,0.012694155337018544,3,2,True
105,Port105_U1_0::ADC_DVDDQ18/8,1.0307810198828624,3.8464105905449726e-07,0.0039014057908529493,6309573.44480193,0.012233015093268332,3,2,True
106,Port106_U1_0::ADC_DVDDQ18/9,1.0262793744214194,3.841475577778271e-07,0.003884485459180854,6309573.44480193,0.01222731137618832,3,2,True
107,Port107_U1_0::ADC_DVDDQ18/10,1.0292858790676949,3.845666609585798e-07,0.00389449380293378,6309573.44480193,0.012983274873062884,3,2,True
108,Port108_U1_0::ADC_DVDDQ18/11,1.029285991947489,3.8449594255588907e-07,0.003894588141274086,6309573.44480193,0.012229159102857046,3,2,True
109,Port109_U1_0::ADC_DVDDQ18/12,1.0167702828557608,3.831783205107213e-07,0.0038487264859812667,6309573.44480193,0.01227366065101768,3,2,True
110,Port110_U1_0::ADC_DVDDQ18/13,1.021997452176848,3.836734037330875e-07,0.003867066983570093,6309573.44480193,0.013039332947093273,3,2,True
111,Port111_U1_0::ADC_DVDDQ18/14,1.0180809827005544,3.8329082346422017e-07,0.0038553637820306543,6309573.44480193,0.012445661900084476,3,2,True
112,Port112_U1_0::ADC_DVDDQ18/15,1.019038980032427,3.8338718348140333e-07,0.0038577570376891494,6309573.44480193,0.012636560805701772,3,2,True
113,Port113_U1_0::ADC_DVDDQ18/16,1.0179949503925185,3.833230176091392e-07,0.003854152039427039,6309573.44480193,0.012193787062760723,3,2,True
114,Port114_U1_0::ADC_DVDDQ18/17,1.011464428407445,3.826270055433787e-07,0.0038287608343227073,6309573.44480193,0.013112366404840791,3,2,True
115,Port115_U1_0::ADC_DVDDQ18/18,1.018841041589773,3.8341252110216065e-07,0.0038588247813980832,6309573.44480193,0.012655919573281372,3,2,True
116,Port116_U1_0::ADC_DVDDQ18/19,1.0206783663092012,3.8359525741182193e-07,0.003862702281862831,6309573.44480193,0.012382962598628445,2,2,True
117,Port117_U1_0::ADC_DVDDQ18/20,1.0284016728804426,3.8448682514482103e-07,0.003891892652833748,6309573.44480193,0.012740921723439535,3,2,True
118,Port118_U1_0::ADC_DVDDQ18/21,1.0356316793900728,3.852925271621608e-07,0.003919607011697188,6918309.70918936,0.013407333143174544,3,2,True
119,Port119_U1_0::ADC_DVDDQ18/22,1.02968736166108,3.8457995498257634e-07,0.0038985058528897823,6309573.44480193,0.012468310036018011,3,2,True
120,Port120_U1_0::ADC_DVDDQ18/23,1.0270257356522454,3.843188144148416e-07,0.003890007757834913,6918309.70918936,0.011219355611177382,2,1,True
121,Port121_U1_0::ADC_DVDDQ18/24,1.0315716850100929,3.848513455661747e-07,0.0039057897809693857,6918309.70918936,0.012212477592311421,3,2,True
122,Port122_U1_0::ADC_DVDDQ18/25,1.0265295134251335,3.8430117405318567e-07,0.0038885656724846323,6918309.70918936,0.012244330330170472,3,2,True
123,Port123_U1_0::ADC_DVDDQ18/26,1.0320627374191513,3.8497559967881355e-07,0.003908935205758201,6918309.70918936,0.011081507687886447,3,2,True
124,Port124_U1_0::ADC_DVDDQ18/27,1.0318205347349276,3.849596666382782e-07,0.0039011282449607546,6918309.70918936,0.011044713937374115,3,2,True
125,Port125_U1_0::ADC_DVDDQ18/28,1.016585264494428,3.8340179640634416e-07,0.003859487149971527,7585775.75029184,0.011970965982835736,2,2,True
126,Port126_U1_0::ADC_DVDDQ18/29,1.020646703377151,3.8379991929933166e-07,0.003872983852085328,7585775.75029184,0.011312956975392453,2,2,True
127,Port127_U1_0::ADC_DVDDQ18/30,1.0132453261289585,3.8306200735405905e-07,0.003844525295151788,7585775.75029184,0.010746028708066653,2,2,True
128,Port128_U1_0::ADC_DVDDQ18/31,1.013728982863714,3.83111920459819e-07,0.0038489192519787795,7585775.75029184,0.011205960470960924,3,2,True
129,Port129_U1_0::ADC_IO_BUCK13/0,1827.8440858009278,2.2937772461054995e-09,0.10190944277391926,100000000.0,0.18939474490360067,0,0,True
130,Port130_U1_0::ADC_IO_BUCK13/1,1848.552997421794,2.411609913036596e-09,0.10341415986121241,100000000.0,0.14537520261930287,0,1,True
131,Port131_U1_0::ADC_IO_BUCK13/2,1244.5161709111437,3.2128248737052415e-09,0.08566456527914595,100000000.0,0.058609279535760304,0,0,True
132,Port132_U1_0::ADC_IO_BUCK13/3,1654.0872780946852,2.777791780066857e-09,0.10037654619144082,100000000.0,0.14768285952261861,0,0,False
133,Port133_U1_0::ADC_IO_BUCK13/4,833.5323461619258,4.154548382391342e-09,0.07142641892038386,80000000.0,0.03655181801879103,1,0,False
134,Port134_U1_0::ADC_IO_BUCK13/5,994.3850785059535,3.763842168545765e-09,0.07490633750918368,86000000.0,0.03593644318260212,1,1,False
135,Port135_U1_0::ADC_IO_BUCK13/6,1090.1715831381096,3.2800519273233326e-09,0.08248656949116923,86000000.0,0.0422670138955224,1,0,False
136,Port136_U1_0::ADC_IO_BUCK13/7,1105.2068441800704,3.4855906763533005e-09,0.07795306386162215,86000000.0,0.04106380516350497,2,1,False
137,Port137_U1_0::ADC_IO_BUCK13/8,1189.72496810328,3.2799949842819143e-09,0.08069142584126125,84000000.0,0.042705633503000134,1,0,True
138,Port138_U1_0::ADC_IO_BUCK13/9,1270.4365365627073,3.1135888270806275e-09,0.08593307504445774,88000000.0,0.04333116860608886,1,0,True
139,Port139_U1_0::ADC_IO_BUCK13/10,1002.2469264631333,3.742635670775747e-09,0.07552039443046595,74000000.0,0.04456439534525718,1,0,True
140,Port140_U1_0::ADC_IO_BUCK13/11,1260.48622405736,3.133287089093655e-09,0.08570823385739283,86000000.0,0.04516649310769001,1,0,True
141,Port141_U1_0::ADC_IO_BUCK13/12,811.6651231079991,2.9655055072682034e-09,0.14728109250550442,84000000.0,0.04952790702935893,1,1,False
142,Port142_U1_0::ADC_IO_BUCK13/13,1623.4439660050386,2.781263405932797e-09,0.09832089204194681,86000000.0,0.04942943196416783,2,1,False
143,Port143_U1_0::ADC_IO_BUCK13/14,1645.37195506289,2.4731912977544625e-09,0.10043895823273025,94000000.0,0.0520338137803945,1,0,False
144,Port144_U1_0::ADC_IO_BUCK13/15,1610.8911340015538,2.750339948626833e-09,0.09733549830367151,82000000.0,0.05309302481900328,2,2,False
145,Port145_U1_0::ADC_IO_BUCK13/16,1760.4557705868913,2.4392375055130037e-09,0.0996452782326126,90000000.0,0.05366465710447436,2,1,False
146,Port146_U1_0::ADC_IO_BUCK13/17,2187.449924869988,2.0562166908883764e-09,0.1077522906013945,96000000.0,0.06074359928154921,1,0,True
147,Port147_U1_0::ADC_IO_BUCK13/18,1409.0704428353226,2.9905769044981044e-09,0.09079421250267451,86000000.0,0.04776103533678973,2,2,False
148,Port148_U1_0::ADC_IO_BUCK13/19,2319.3083210796676,2.0595637347305704e-09,0.11789557832573785,96000000.0,0.05934415720932444,1,0,True
149,Port149_U1_0::ADC_IO_BUCK13/20,1022.858357221179,3.7566891698272524e-09,0.07670259819940972,80000000.0,0.04063057890105555,1,0,False
150,Port150_U1_0::ADC_IO_BUCK13/21,856.914486361022,3.795628732004264e-09,0.061666857966591826,78000000.0,0.04110598700671639,1,0,False
151,Port151_U1_0::ADC_IO_BUCK13/22,1197.1760486061487,3.2361389956218038e-09,0.081992182958784,84000000.0,0.045062221086479844,1,0,True
152,Port152_U1_0::ADC_IO_BUCK13/23,353.8244909645781,3.766134016660833e-09,0.02641138509922415,78000000.0,0.0403340684201318,1,1,False
153,Port153_U1_0::ADC_IO_BUCK13/24,1127.103034185499,3.4894177240338905e-09,0.07904466542161029,90000000.0,0.038728267817044956,2,1,False
154,Port154_U1_0::ADC_IO_BUCK13/25,1141.302442579119,3.49915757699911e-09,0.08109677771973223,92000000.0,0.035918730192704786,1,1,True
155,Port155_U1_0::ADC_IO_BUCK13/26,1026.8624016810923,3.778485443806041e-09,0.07647513361608105,84000000.0,0.03720034441819524,2,2,False
156,Port156_U1_0::ADC_IO_BUCK13/27,1184.7395123011001,3.5032279054105266e-09,0.08557661135626972,90000000.0,0.037162444052089724,2,1,False
157,Port157_U1_0::ADC_IO_BUCK13/28,1562.4196499531085,2.8179864639114353e-09,0.09835191822726995,100000000.0,0.09587929149963995,0,0,False
158,Port158_U1_0::ADC_IO_BUCK13/29,1760.5390922443548,2.5158151493249476e-09,0.10350028499859118,100000000.0,0.10318656348138194,0,0,True
159,Port159_U1_0::ADC_IO_BUCK13/30,2389.261593344626,2.513617923215325e-09,0.16233274029915218,100000000.0,0.19135504719355864,1,2,False
160,Port160_U1_0::ADC_IO_BUCK13/31,1849.049208233443,2.4985202387251898e-09,0.10554752801692037,100000000.0,0.11819617067394515,0,0,False
